as_of_date,factor_raw,factor_pctl_5Y,factor_pctl_10Y
1960-09-30,32.6821579208,100.0,95.0
1960-10-31,32.6821579208,100.0,95.0
1960-11-30,32.6821579208,100.0,95.0
1960-12-31,32.2189798724,85.0,87.5
1961-01-31,32.2189798724,85.0,87.5
1961-02-28,32.2189798724,85.0,87.5
1961-03-31,32.6594751163,95.0,92.5
1961-04-30,32.6594751163,95.0,92.5
1961-05-31,32.6594751163,95.0,92.5
1961-06-30,32.4371825061,90.0,92.5
1961-07-31,32.4371825061,90.0,92.5
1961-08-31,32.4371825061,90.0,92.5
1961-09-30,31.9101490067,60.0,75.0
1961-10-31,31.9101490067,60.0,75.0
1961-11-30,31.9101490067,60.0,75.0
1961-12-31,31.5852075999,40.0,57.49999999999999
1962-01-31,31.5852075999,40.0,57.49999999999999
1962-02-28,31.5852075999,40.0,57.49999999999999
1962-03-31,32.1151320702,70.0,82.5
1962-04-30,32.1151320702,70.0,82.5
1962-05-31,32.1151320702,70.0,82.5
1962-06-30,31.703909907,50.0,65.0
1962-07-31,31.703909907,50.0,65.0
1962-08-31,31.703909907,50.0,65.0
1962-09-30,31.9583386795,65.0,77.5
1962-10-31,31.9583386795,65.0,77.5
1962-11-30,31.9583386795,65.0,77.5
1962-12-31,31.9269167212,65.0,75.0
1963-01-31,31.9269167212,65.0,75.0
1963-02-28,31.9269167212,65.0,75.0
1963-03-31,32.5809361422,90.0,95.0
1963-04-30,32.5809361422,90.0,95.0
1963-05-31,32.5809361422,90.0,95.0
1963-06-30,32.2954774592,80.0,87.5
1963-07-31,32.2954774592,80.0,87.5
1963-08-31,32.2954774592,80.0,87.5
1963-09-30,32.419970972,80.0,90.0
1963-10-31,32.419970972,80.0,90.0
1963-11-30,32.419970972,80.0,90.0
1963-12-31,32.191406736,65.0,77.5
1964-01-31,32.191406736,65.0,77.5
1964-02-29,32.191406736,65.0,77.5
1964-03-31,33.0295760001,100.0,100.0
1964-04-30,33.0295760001,100.0,100.0
1964-05-31,33.0295760001,100.0,100.0
1964-06-30,32.8863058236,95.0,97.5
1964-07-31,32.8863058236,95.0,97.5
1964-08-31,32.8863058236,95.0,97.5
1964-09-30,33.3833739978,100.0,100.0
1964-10-31,33.3833739978,100.0,100.0
1964-11-30,33.3833739978,100.0,100.0
1964-12-31,33.353866704,95.0,97.5
1965-01-31,33.353866704,95.0,97.5
1965-02-28,33.353866704,95.0,97.5
1965-03-31,34.0945945405,100.0,100.0
1965-04-30,34.0945945405,100.0,100.0
1965-05-31,34.0945945405,100.0,100.0
1965-06-30,34.715467945,100.0,100.0
1965-07-31,34.715467945,100.0,100.0
1965-08-31,34.715467945,100.0,100.0
1965-09-30,35.5320892078,100.0,100.0
1965-10-31,35.5320892078,100.0,100.0
1965-11-30,35.5320892078,100.0,100.0
1965-12-31,35.4791066116,95.0,97.5
1966-01-31,35.4791066116,95.0,97.5
1966-02-28,35.4791066116,95.0,97.5
1966-03-31,36.9035339391,100.0,100.0
1966-04-30,36.9035339391,100.0,100.0
1966-05-31,36.9035339391,100.0,100.0
1966-06-30,36.8414195349,95.0,97.5
1966-07-31,36.8414195349,95.0,97.5
1966-08-31,36.8414195349,95.0,97.5
1966-09-30,37.6510670686,100.0,100.0
1966-10-31,37.6510670686,100.0,100.0
1966-11-30,37.6510670686,100.0,100.0
1966-12-31,37.3301469838,95.0,97.5
1967-01-31,37.3301469838,95.0,97.5
1967-02-28,37.3301469838,95.0,97.5
1967-03-31,37.6764960076,100.0,100.0
1967-04-30,37.6764960076,100.0,100.0
1967-05-31,37.6764960076,100.0,100.0
1967-06-30,37.609805155,90.0,95.0
1967-07-31,37.609805155,90.0,95.0
1967-08-31,37.609805155,90.0,95.0
1967-09-30,37.8566371871,100.0,100.0
1967-10-31,37.8566371871,100.0,100.0
1967-11-30,37.8566371871,100.0,100.0
1967-12-31,36.809154501,65.0,82.5
1968-01-31,36.809154501,65.0,82.5
1968-02-29,36.809154501,65.0,82.5
1968-03-31,37.5619484724,80.0,90.0
1968-04-30,37.5619484724,80.0,90.0
1968-05-31,37.5619484724,80.0,90.0
1968-06-30,37.0097016347,70.0,85.0
1968-07-31,37.0097016347,70.0,85.0
1968-08-31,37.0097016347,70.0,85.0
1968-09-30,37.4365363914,75.0,87.5
1968-10-31,37.4365363914,75.0,87.5
1968-11-30,37.4365363914,75.0,87.5
1968-12-31,37.3020881765,65.0,82.5
1969-01-31,37.3020881765,65.0,82.5
1969-02-28,37.3020881765,65.0,82.5
1969-03-31,38.0664001482,100.0,100.0
1969-04-30,38.0664001482,100.0,100.0
1969-05-31,38.0664001482,100.0,100.0
1969-06-30,38.1039599656,100.0,100.0
1969-07-31,38.1039599656,100.0,100.0
1969-08-31,38.1039599656,100.0,100.0
1969-09-30,39.3307354484,100.0,100.0
1969-10-31,39.3307354484,100.0,100.0
1969-11-30,39.3307354484,100.0,100.0
1969-12-31,39.719808908,100.0,100.0
1970-01-31,39.719808908,100.0,100.0
1970-02-28,39.719808908,100.0,100.0
1970-03-31,40.4258261527,100.0,100.0
1970-04-30,40.4258261527,100.0,100.0
1970-05-31,40.4258261527,100.0,100.0
1970-06-30,38.9916857735,85.0,92.5
1970-07-31,38.9916857735,85.0,92.5
1970-08-31,38.9916857735,85.0,92.5
1970-09-30,39.2680279412,85.0,92.5
1970-10-31,39.2680279412,85.0,92.5
1970-11-30,39.2680279412,85.0,92.5
1970-12-31,38.371578708,75.0,87.5
1971-01-31,38.371578708,75.0,87.5
1971-02-28,38.371578708,75.0,87.5
1971-03-31,37.7223487833,55.00000000000001,77.5
1971-04-30,37.7223487833,55.00000000000001,77.5
1971-05-31,37.7223487833,55.00000000000001,77.5
1971-06-30,37.0483285449,15.0,57.49999999999999
1971-07-31,37.0483285449,15.0,57.49999999999999
1971-08-31,37.0483285449,15.0,57.49999999999999
1971-09-30,36.8839761564,5.0,50.0
1971-10-31,36.8839761564,5.0,50.0
1971-11-30,36.8839761564,5.0,50.0
1971-12-31,36.8216138665,5.0,45.0
1972-01-31,36.8216138665,5.0,45.0
1972-02-29,36.8216138665,5.0,45.0
1972-03-31,36.2235315847,0.0,40.0
1972-04-30,36.2235315847,0.0,40.0
1972-05-31,36.2235315847,0.0,40.0
1972-06-30,36.2524016174,5.0,40.0
1972-07-31,36.2524016174,5.0,40.0
1972-08-31,36.2524016174,5.0,40.0
1972-09-30,36.5189416831,10.0,40.0
1972-10-31,36.5189416831,10.0,40.0
1972-11-30,36.5189416831,10.0,40.0
1972-12-31,36.2201580174,0.0,32.5
1973-01-31,36.2201580174,0.0,32.5
1973-02-28,36.2201580174,0.0,32.5
1973-03-31,37.0897397682,40.0,57.49999999999999
1973-04-30,37.0897397682,40.0,57.49999999999999
1973-05-31,37.0897397682,40.0,57.49999999999999
1973-06-30,38.0777786176,65.0,82.5
1973-07-31,38.0777786176,65.0,82.5
1973-08-31,38.0777786176,65.0,82.5
1973-09-30,38.2971545754,70.0,85.0
1973-10-31,38.2971545754,70.0,85.0
1973-11-30,38.2971545754,70.0,85.0
1973-12-31,37.5639781757,45.0,62.5
1974-01-31,37.5639781757,45.0,62.5
1974-02-28,37.5639781757,45.0,62.5
1974-03-31,37.3576144022,40.0,55.00000000000001
1974-04-30,37.3576144022,40.0,55.00000000000001
1974-05-31,37.3576144022,40.0,55.00000000000001
1974-06-30,37.8231262626,55.00000000000001,72.5
1974-07-31,37.8231262626,55.00000000000001,72.5
1974-08-31,37.8231262626,55.00000000000001,72.5
1974-09-30,38.9960298221,80.0,90.0
1974-10-31,38.9960298221,80.0,90.0
1974-11-30,38.9960298221,80.0,90.0
1974-12-31,39.8034892541,95.0,97.5
1975-01-31,39.8034892541,95.0,97.5
1975-02-28,39.8034892541,95.0,97.5
1975-03-31,40.2637600649,95.0,97.5
1975-04-30,40.2637600649,95.0,97.5
1975-05-31,40.2637600649,95.0,97.5
1975-06-30,38.8645288604,75.0,80.0
1975-07-31,38.8645288604,75.0,80.0
1975-08-31,38.8645288604,75.0,80.0
1975-09-30,37.5863249767,50.0,50.0
1975-10-31,37.5863249767,50.0,50.0
