,cape_pctl,real_rate,cape_zone,rate_regime,signal,signal_numeric
2003-01-31,43.58974358974359,2.19,low,high,GREEN,0
2003-02-28,37.57961783439491,1.77,low,high,GREEN,0
2003-03-31,39.24050632911392,2.0300000000000002,low,high,GREEN,0
2003-04-30,42.76729559748428,2.16,low,high,GREEN,0
2003-05-31,48.125,1.77,low,high,GREEN,0
2003-06-30,50.931677018633536,1.9000000000000001,low,high,GREEN,0
2003-07-31,51.85185185185185,2.41,low,high,GREEN,0
2003-08-31,50.306748466257666,2.29,low,high,GREEN,0
2003-09-30,53.65853658536586,1.9500000000000002,low,high,GREEN,0
2003-10-31,55.757575757575765,1.9300000000000002,low,high,GREEN,0
2003-11-30,57.22891566265061,2.03,low,high,GREEN,0
2003-12-31,59.88023952095808,1.9999999999999996,low,high,GREEN,0
2004-01-31,61.30952380952381,1.85,medium,high,ORANGE,2
2004-02-29,60.946745562130175,1.6100000000000003,medium,high,ORANGE,2
2004-03-31,59.411764705882355,1.48,low,low,GREEN,0
2004-04-30,59.06432748538012,2.1100000000000003,low,high,GREEN,0
2004-05-31,55.23255813953488,2.0,low,high,GREEN,0
2004-06-30,57.22543352601156,2.1,low,high,GREEN,0
2004-07-31,52.87356321839081,2.01,low,high,GREEN,0
2004-08-31,50.28571428571429,1.7799999999999998,low,high,GREEN,0
2004-09-30,52.84090909090909,1.7699999999999996,low,high,GREEN,0
2004-10-31,50.847457627118644,1.63,low,high,GREEN,0
2004-11-30,58.98876404494382,1.7500000000000004,low,high,GREEN,0
2004-12-31,61.452513966480446,1.6800000000000002,medium,high,ORANGE,2
2005-01-31,59.44444444444444,1.6499999999999995,low,high,GREEN,0
2005-02-28,60.22099447513812,1.7000000000000002,medium,high,ORANGE,2
2005-03-31,56.59340659340659,1.79,low,high,GREEN,0
2005-04-30,49.18032786885246,1.6099999999999999,low,high,GREEN,0
2005-05-31,51.63043478260869,1.63,low,high,GREEN,0
2005-06-30,56.75675675675676,1.67,low,high,GREEN,0
2005-07-31,56.98924731182796,1.9200000000000004,low,high,GREEN,0
2005-08-31,56.14973262032086,1.6499999999999995,low,high,GREEN,0
2005-09-30,50.53191489361703,1.7799999999999998,low,high,GREEN,0
2005-10-31,44.97354497354497,2.0000000000000004,low,high,GREEN,0
2005-11-30,54.21052631578947,2.12,low,high,GREEN,0
2005-12-31,58.63874345549738,2.0599999999999996,low,high,GREEN,0
2006-01-31,59.895833333333336,2.0000000000000004,low,high,GREEN,0
2006-02-28,56.994818652849744,2.02,low,high,GREEN,0
2006-03-31,56.70103092783505,2.3500000000000005,low,high,GREEN,0
2006-04-30,56.41025641025641,2.39,low,high,GREEN,0
2006-05-31,48.97959183673469,2.48,low,high,GREEN,0
2006-06-30,42.13197969543147,2.5400000000000005,low,high,GREEN,0
2006-07-31,41.91919191919192,2.41,low,high,GREEN,0
2006-08-31,45.7286432160804,2.24,low,high,GREEN,0
2006-09-30,49.0,2.2699999999999996,low,high,GREEN,0
2006-10-31,61.19402985074627,2.3400000000000003,medium,high,ORANGE,2
2006-11-30,64.35643564356435,2.16,medium,high,ORANGE,2
2006-12-31,66.00985221674877,2.41,medium,high,ORANGE,2
2007-01-31,65.68627450980392,2.4,medium,high,ORANGE,2
2007-02-28,65.85365853658537,2.1999999999999997,medium,high,ORANGE,2
2007-03-31,55.8252427184466,2.2100000000000004,low,high,GREEN,0
2007-04-30,64.73429951690821,2.1999999999999997,medium,high,ORANGE,2
2007-05-31,66.82692307692307,2.5400000000000005,medium,high,ORANGE,2
2007-06-30,66.50717703349282,2.6500000000000004,medium,high,ORANGE,2
2007-07-31,66.19047619047619,2.4400000000000004,medium,high,ORANGE,2
2007-08-31,54.502369668246445,2.34,low,high,GREEN,0
2007-09-30,61.79245283018868,2.27,medium,high,ORANGE,2
2007-10-31,65.25821596244131,2.1400000000000006,medium,high,ORANGE,2
2007-11-30,46.728971962616825,1.6300000000000003,low,high,GREEN,0
2007-12-31,51.627906976744185,1.73,low,high,GREEN,0
2008-01-31,37.03703703703704,1.33,low,low,GREEN,0
2008-02-29,35.02304147465438,1.0999999999999996,low,low,GREEN,0
2008-03-31,32.11009174311927,1.1100000000000003,low,low,GREEN,0
2008-04-30,34.24657534246575,1.5,low,high,GREEN,0
2008-05-31,37.27272727272727,1.5799999999999996,low,high,GREEN,0
2008-06-30,30.76923076923077,1.4800000000000004,low,low,GREEN,0
2008-07-31,24.774774774774773,1.6500000000000004,low,high,GREEN,0
2008-08-31,29.14798206278027,1.6800000000000002,low,high,GREEN,0
2008-09-30,19.196428571428573,2.25,low,high,GREEN,0
2008-10-31,2.666666666666667,3.1399999999999997,low,high,GREEN,0
2008-11-30,0.8849557522123894,2.6,low,high,GREEN,0
2008-12-31,1.762114537444934,2.14,low,high,GREEN,0
2009-01-31,0.43859649122807015,1.7300000000000002,low,high,GREEN,0
2009-02-28,0.0,2.06,low,high,GREEN,0
2009-03-31,0.0,1.43,low,low,GREEN,0
2009-04-30,1.2987012987012987,1.6900000000000002,low,high,GREEN,0
2009-05-31,4.741379310344827,1.6700000000000002,low,high,GREEN,0
2009-06-30,5.579399141630901,1.7799999999999998,low,high,GREEN,0
2009-07-31,6.837606837606838,1.71,low,high,GREEN,0
2009-08-31,11.48936170212766,1.76,low,high,GREEN,0
2009-09-30,14.83050847457627,1.56,low,high,GREEN,0
2009-10-31,16.455696202531644,1.4100000000000001,low,low,GREEN,0
2009-11-30,19.327731092436977,1.13,low,low,GREEN,0
2009-12-31,23.01255230125523,1.48,low,low,GREEN,0
2010-01-31,25.0,1.2999999999999998,low,low,GREEN,0
2010-02-28,20.33195020746888,1.48,low,low,GREEN,0
2010-03-31,30.991735537190085,1.5999999999999996,low,high,GREEN,0
2010-04-30,35.80246913580247,1.29,low,low,GREEN,0
2010-05-31,25.0,1.32,low,low,GREEN,0
2010-06-30,17.551020408163264,1.1500000000000001,low,low,GREEN,0
2010-07-31,17.479674796747968,1.14,low,low,GREEN,0
2010-08-31,19.4331983805668,0.9500000000000002,low,low,GREEN,0
2010-09-30,25.0,0.7499999999999998,low,low,GREEN,0
2010-10-31,33.734939759036145,0.5,low,low,GREEN,0
2010-11-30,37.2,0.7400000000000002,low,low,GREEN,0
2010-12-31,38.645418326693225,1.0,low,low,GREEN,0
2011-01-31,41.269841269841265,1.08,low,low,GREEN,0
2011-02-28,43.47826086956522,1.0299999999999998,low,low,GREEN,0
2011-03-31,40.55118110236221,0.9900000000000002,low,low,GREEN,0
2011-04-30,41.568627450980394,0.75,low,low,GREEN,0
2011-05-31,41.40625,0.7999999999999998,low,low,GREEN,0
2011-06-30,37.35408560311284,0.75,low,low,GREEN,0
2011-07-31,39.53488372093023,0.3799999999999999,low,low,GREEN,0
2011-08-31,20.84942084942085,0.18000000000000016,low,low,GREEN,0
2011-09-30,16.538461538461537,0.16999999999999993,low,low,GREEN,0
2011-10-31,22.22222222222222,0.08000000000000007,low,low,GREEN,0
2011-11-30,24.80916030534351,0.03000000000000025,low,low,GREEN,0
2011-12-31,26.23574144486692,-0.07000000000000006,low,negative,GREEN,0
2012-01-31,33.71212121212121,-0.2799999999999998,low,negative,GREEN,0
2012-02-29,37.735849056603776,-0.2799999999999998,low,negative,GREEN,0
2012-03-31,38.721804511278194,-0.08999999999999986,low,negative,GREEN,0
2012-04-30,37.453183520599254,-0.30000000000000004,low,negative,GREEN,0
2012-05-31,30.970149253731343,-0.4999999999999998,low,negative,GREEN,0
