Date,margin_debt,margin_yoy,margin_pctl,free_credit,net_margin
1997-01-31,103337,,0.0,68856,34481
1997-02-28,103886,,50.0,67058,36828
1997-03-31,104835,,66.66666666666666,69553,35282
1997-04-30,102842,,0.0,64825,38017
1997-05-31,111097,,80.0,66879,44218
1997-06-30,118843,,83.33333333333334,72422,46421
1997-07-31,121090,,85.71428571428571,73714,47376
1997-08-31,124404,,87.5,71211,53193
1997-09-30,131962,,88.88888888888889,73087,58875
1997-10-31,134491,,90.0,80287,54204
1997-11-30,132741,,81.81818181818183,77259,55482
1997-12-31,131560,,66.66666666666666,88590,42970
1998-01-31,132912,28.619952195244693,84.61538461538461,83362,49550
1998-02-28,141328,36.04143002907032,92.85714285714286,81932,59396
1998-03-31,146536,39.777745981780896,93.33333333333333,85580,60956
1998-04-30,146589,42.53806810447094,93.75,85771,60818
1998-05-31,150293,35.28088067184532,94.11764705882352,80174,70119
1998-06-30,154357,29.883123112004917,94.44444444444444,87891,66466
1998-07-31,160980,32.94243950780411,94.73684210526315,92687,68293
1998-08-31,155879,25.300633420147257,90.0,100093,55786
1998-09-30,144541,9.532289598520794,66.66666666666666,103879,40662
1998-10-31,138399,2.9057706463629485,59.09090909090909,108179,30220
1998-11-30,148697,12.020400629797878,78.26086956521739,108032,40665
1998-12-31,148674,13.008513225904528,75.0,111507,37167
1999-01-31,162322,22.127422655591666,96.0,107200,55122
1999-02-28,162909,15.270151703837875,96.15384615384616,109523,53386
1999-03-31,166212,13.427417153464006,96.29629629629629,109941,56271
1999-04-30,184329,25.745451568671584,96.42857142857143,112290,72039
1999-05-31,189950,26.386458451158745,96.55172413793103,114271,75679
1999-06-30,187695,21.59798389447838,93.33333333333333,116982,70713
1999-07-31,189503,17.718350105603186,93.54838709677419,115017,74486
1999-08-31,187616,20.36002283822709,87.5,117149,70467
1999-09-30,189741,31.27140396150574,93.93939393939394,121207,68534
1999-10-31,194259,40.36156330609326,97.05882352941177,123457,70802
1999-11-30,218304,46.81130083323806,97.14285714285714,131786,86518
1999-12-31,241967,62.75004371981652,97.22222222222221,146582,95385
2000-01-31,260409,60.42742203767819,97.2972972972973,148567,111842
2000-02-29,284206,74.4569053888981,97.36842105263158,153540,130666
2000-03-31,299933,80.45207325584194,97.43589743589743,168002,131931
2000-04-30,268716,45.780642221245714,92.5,156868,111848
2000-05-31,256862,35.226112134772315,87.8048780487805,153843,103019
2000-06-30,264471,40.90465915447934,90.47619047619048,153050,111421
2000-07-31,263729,39.16877305372475,88.37209302325581,163050,100679
2000-08-31,265166,41.33442776735458,90.9090909090909,156775,108391
2000-09-30,270208,42.408862607449095,93.33333333333333,160964,109244
2000-10-31,250965,29.190925516964473,78.26086956521739,172738,78227
2000-11-30,237913,8.982428173556144,74.46808510638297,186459,51454
2000-12-31,210385,-13.05219306764972,70.83333333333334,198179,12206
2001-01-31,208687,-19.861832732355644,69.38775510204081,187225,21462
2001-02-28,198887,-30.020126246455035,68.0,193266,5621
2001-03-31,174797,-41.72131776096661,52.94117647058824,198581,-23784
2001-04-30,176096,-34.46761636821031,53.84615384615385,191145,-15049
2001-05-31,183041,-28.739556649095622,54.71698113207547,183493,-452
2001-06-30,179585,-32.096524760748814,53.70370370370371,187602,-8017
2001-07-31,173680,-34.14451956364298,49.09090909090909,185100,-11420
2001-08-31,169316,-36.1471681889835,48.214285714285715,191219,-21903
2001-09-30,157931,-41.552063595452395,40.35087719298245,211281,-53350
2001-10-31,152367,-39.28755005678083,36.206896551724135,187012,-34645
2001-11-30,159440,-32.983905881561746,42.3728813559322,188441,-29001
2001-12-31,160473,-23.72412481878461,43.333333333333336,197424,-36951
2002-01-31,160906,-22.89601173048632,44.26229508196721,189841,-28935
2002-02-28,154931,-22.10099202059461,37.096774193548384,186919,-31988
2002-03-31,160089,-8.414332053753782,42.857142857142854,180578,-20489
2002-04-30,159072,-9.667454115936758,40.625,175730,-16658
2002-05-31,157802,-13.78871400396633,38.46153846153847,173395,-15593
2002-06-30,153972,-14.262327031767686,33.33333333333333,178744,-24772
2002-07-31,143905,-17.143597420543532,22.388059701492537,183326,-39421
2002-08-31,139146,-17.818753100711092,20.588235294117645,174995,-35849
2002-09-30,136107,-13.818692973513746,18.84057971014493,180997,-44890
2002-10-31,138647,-9.004574481350947,21.428571428571427,181069,-42422
2002-11-30,139472,-12.523833416959363,23.943661971830984,176062,-36590
2002-12-31,139451,-13.100023056838218,23.61111111111111,184715,-45264
2003-01-31,141391,-12.128199072750546,27.397260273972602,179528,-38137
2003-02-28,140516,-9.304141843788527,25.675675675675674,179925,-39409
2003-03-31,144267,-9.883252440829793,30.666666666666664,176955,-32688
2003-04-30,143237,-9.954611748139207,28.947368421052634,168756,-25519
2003-05-31,153725,-2.583617444645825,41.55844155844156,178946,-25221
2003-06-30,168281,9.293248123035358,61.53846153846154,190026,-21745
2003-07-31,174427,21.20982592682672,64.55696202531645,199973,-25546
2003-08-31,167200,20.161556925818914,60.0,188112,-20912
2003-09-30,171194,25.778982712130905,62.96296296296296,189826,-18632
2003-10-31,175428,26.528522074044147,67.07317073170732,191554,-16126
2003-11-30,182587,30.91301479866926,69.87951807228916,184899,-2312
2003-12-31,181459,30.123842783486676,69.04761904761905,199297,-17838
2004-01-31,189429,33.97528838469211,75.29411764705883,198628,-9199
2004-02-29,190448,35.534743374419996,79.06976744186046,200323,-9875
2004-03-31,191451,32.706024246709234,79.3103448275862,203953,-12502
2004-04-30,198778,38.77559569105748,80.68181818181817,217992,-19214
2004-05-31,193843,26.09725158562368,78.65168539325843,219640,-25797
2004-06-30,193993,15.279205614418734,78.88888888888889,220781,-26788
2004-07-31,187844,7.692043089659295,70.32967032967034,220196,-32352
2004-08-31,187828,12.33732057416268,69.56521739130434,217945,-30117
2004-09-30,193668,13.127796534925285,77.41935483870968,220860,-27192
2004-10-31,197999,12.866247121326136,80.85106382978722,218090,-20091
2004-11-30,211012,15.567921045857581,85.26315789473684,223928,-12916
2004-12-31,217573,19.902016433464297,85.41666666666666,238192,-20619
2005-01-31,220122,16.202904518315563,86.5979381443299,230624,-10502
2005-02-28,223155,17.173716710073084,86.73469387755102,224392,-1237
2005-03-31,226876,18.503429075847077,86.86868686868688,234533,-7657
2005-04-30,217447,9.391884413768125,82.0,223839,-6392
2005-05-31,219404,13.186444700092338,84.15841584158416,224933,-5529
2005-06-30,224153,15.546952725098318,86.27450980392157,234352,-10199
2005-07-31,233585,24.350524903643446,87.37864077669903,224242,9343
2005-08-31,231400,23.197819281470288,86.53846153846155,225410,5990
2005-09-30,244669,26.334242105045757,89.52380952380953,238929,5740
2005-10-31,239868,21.14606639427472,87.73584905660378,243174,-3306
2005-11-30,242904,15.113832388679317,88.78504672897196,241695,1209
2005-12-31,244098,12.191310502681851,88.88888888888889,263205,-19107
2006-01-31,255795,16.206013029138376,90.82568807339449,255819,-24
2006-02-28,249609,11.854540565974325,89.0909090909091,257573,-7964
2006-03-31,259370,14.322361113559822,91.8918918918919,258928,442
2006-04-30,265164,21.944197896498906,94.64285714285714,259342,5822
2006-05-31,255608,16.501066525678667,88.49557522123894,264307,-8699
2006-06-30,251495,12.197918386102359,87.71929824561403,280275,-28780
2006-07-31,256016,9.602928270222822,89.56521739130436,269376,-13360
2006-08-31,249368,7.764909248055307,84.48275862068965,269423,-20055
2006-09-30,261769,6.9890341645243215,92.3076923076923,268612,-6843
2006-10-31,267710,11.607217302849904,95.76271186440678,267462,248
2006-11-30,294899,21.405575865362447,98.31932773109243,290910,3989
2006-12-31,303288,24.248457586706973,99.16666666666667,299023,4265
2007-01-31,311506,21.7795500302977,99.16666666666667,292521,18985
2007-02-28,321171,28.66963931589006,99.16666666666667,300072,21099
2007-03-31,317737,22.503373559008377,98.33333333333333,305479,12258
2007-04-30,342084,29.00846268724262,99.16666666666667,314744,27340
2007-05-31,382312,49.56965353197083,99.16666666666667,334359,47953
2007-06-30,408444,62.406409670172366,99.16666666666667,347617,60827
2007-07-31,416403,62.647256421473664,99.16666666666667,380971,35432
2007-08-31,362475,45.357463668153095,96.66666666666667,381550,-19075
2007-09-30,359104,37.18354732607758,95.83333333333334,377364,-18260
2007-10-31,376979,40.81618168914123,96.66666666666667,392543,-15564
2007-11-30,379593,28.719663342364665,96.66666666666667,426721,-47128
2007-12-31,355292,17.14673841365304,93.33333333333333,456353,-101061
2008-01-31,365592,17.362747427015847,95.0,474496,-108904
2008-02-29,377088,17.41035149499799,95.83333333333334,454785,-77697
2008-03-31,349419,9.971139653235216,90.83333333333333,488831,-139412
2008-04-30,332303,-2.8592392511780695,89.16666666666667,472371,-140068
2008-05-31,341610,-10.646278432275214,89.16666666666667,470188,-128578
2008-06-30,346892,-15.069874940016259,90.0,499634,-152742
2008-07-31,343297,-17.556549784703755,89.16666666666667,519226,-175929
2008-08-31,324814,-10.389957928132976,85.83333333333333,530042,-205228
2008-09-30,345745,-3.720092229549099,89.16666666666667,381702,-35957
2008-10-31,277568,-26.370434427381895,78.33333333333333,383429,-105861
