Date,margin_debt,margin_yoy,delta_yoy_6m,yoy_zscore,yoy_pctl,peak_signal,spx_yoy,margin_minus_spx
1997-01-31,103337,,,,,0,,
1997-02-28,103886,,,,,0,,
1997-03-31,104835,,,,,0,,
1997-04-30,102842,,,,,0,,
1997-05-31,111097,,,,,0,,
1997-06-30,118843,,,,,0,,
1997-07-31,121090,,,,,0,,
1997-08-31,124404,,,,,0,,
1997-09-30,131962,,,,,0,,
1997-10-31,134491,,,,,0,,
1997-11-30,132741,,,,,0,,
1997-12-31,131560,,,,,0,,
1998-01-31,132912,28.619952195244693,,,,0,,
1998-02-28,141328,36.04143002907032,,,,0,,
1998-03-31,146536,39.777745981780896,,,,0,,
1998-04-30,146589,42.53806810447094,,,,0,,
1998-05-31,150293,35.28088067184532,,,,0,,
1998-06-30,154357,29.883123112004917,,,,0,,
1998-07-31,160980,32.94243950780411,4.322487312559417,,,0,,
1998-08-31,155879,25.300633420147257,-10.740796608923063,,,0,,
1998-09-30,144541,9.532289598520794,-30.2454563832601,,,0,,
1998-10-31,138399,2.9057706463629485,-39.63229745810799,,,0,,
1998-11-30,148697,12.020400629797878,-23.26048004204744,,,0,,
1998-12-31,148674,13.008513225904528,-16.874609886100387,,,0,,
1999-01-31,162322,22.127422655591666,-10.815016852212445,,,0,,
1999-02-28,162909,15.270151703837875,-10.030481716309382,,,0,,
1999-03-31,166212,13.427417153464006,3.895127554943212,,,0,,
1999-04-30,184329,25.745451568671584,22.839680922308634,,,0,,
1999-05-31,189950,26.386458451158745,14.366057821360867,,,0,,
1999-06-30,187695,21.59798389447838,8.58947066857385,,,0,,
1999-07-31,189503,17.718350105603186,-4.40907254998848,,,0,,
1999-08-31,187616,20.36002283822709,5.089871134389213,,,0,,
1999-09-30,189741,31.27140396150574,17.843986808041734,,,0,,
1999-10-31,194259,40.36156330609326,14.616111737421676,,,0,,
1999-11-30,218304,46.81130083323806,20.424842382079312,,,0,,
1999-12-31,241967,62.75004371981652,41.15205982533814,,,0,,
2000-01-31,260409,60.42742203767819,42.709071932075005,,,0,,
2000-02-29,284206,74.4569053888981,54.096882550671005,,,0,,
2000-03-31,299933,80.45207325584194,49.1806692943362,,,0,,
2000-04-30,268716,45.780642221245714,5.419078915152454,,,0,,
2000-05-31,256862,35.226112134772315,-11.585188698465743,,,0,,
2000-06-30,264471,40.90465915447934,-21.845384565337177,,,0,,
2000-07-31,263729,39.16877305372475,-21.258648983953442,,,0,,
2000-08-31,265166,41.33442776735458,-33.12247762154351,,,0,14.933240432895833,26.40118733445875
2000-09-30,270208,42.408862607449095,-38.043210648392844,,,0,11.98790061666315,30.420961990785944
2000-10-31,250965,29.190925516964473,-16.58971670428124,,,0,4.876259235617386,24.314666281347087
2000-11-30,237913,8.982428173556144,-26.24368396121617,,,0,-5.327765578314558,14.310193751870703
2000-12-31,210385,-13.05219306764972,-53.95685222212906,,,0,-10.12421303386082,-2.9279800337889004
2001-01-31,208687,-19.861832732355644,-59.03060578608039,,,0,-2.0402162844398553,-17.82161644791579
2001-02-28,198887,-30.020126246455035,-71.35455401380962,,,0,-8.813190369030277,-21.20693587742476
2001-03-31,174797,-41.72131776096661,-84.13018036841571,,,0,-22.570700262915565,-19.150617498051048
2001-04-30,176096,-34.46761636821031,-63.658541885174785,,,0,-14.186423449905217,-20.28119291830509
2001-05-31,183041,-28.739556649095626,-37.72198482265177,,,0,-11.601027698588684,-17.13852895050694
2001-06-30,179585,-32.096524760748814,-19.044331693099096,,,0,-15.647600714973187,-16.448924045775627
2001-07-31,173680,-34.14451956364298,-14.282686831287336,,,0,-15.349025747113576,-18.795493816529405
2001-08-31,169316,-36.1471681889835,-6.127041942528464,,,0,-25.303935845650017,-10.843232343333483
2001-09-30,157931,-41.552063595452395,0.1692541655142179,,,0,-27.538148808197814,-14.013914787254581
2001-10-31,152367,-39.28755005678083,-4.819933688570522,,,0,-25.857883432793017,-13.429666623987814
2001-11-30,159440,-32.983905881561746,-4.244349232466121,,,0,-13.346515076618882,-19.637390804942864
2001-12-31,160473,-23.72412481878461,8.372399941964204,,,0,-13.051117001135925,-10.673007817648685
2002-01-31,160906,-22.89601173048632,11.248507833156658,,,0,-17.26414887153095,-5.6318628589553725
2002-02-28,154931,-22.10099202059461,14.04617616838889,,,0,-10.742455280094198,-11.358536740500412
